pl_name,hostname,sy_snum,sy_pnum,discoverymethod,st_spectype,releasedate,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_logg
BD+60 1417 b,BD+60 1417,1,1,Imaging,K0,2022-01-10,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,1662,14.684,4767.4261,1303,4993,0.8,1,4.55
BD-14 3065 b,BD-14 3065 A,3,1,Transit,,2024-06-25,2024,Transiting Exoplanet Survey Satellite (TESS),4.2889731,0.0656,21.59,3932,2001,6935,2.35,1.41,3.85
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,M9-L1,2021-05-17,2021,Hubble Space Telescope,8040000,200,20.849,2479.06157,1800,2320,0.24,0.01,3.85
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,M3 V,2021-08-16,2021,NASA Infrared Telescope Facility (IRTF),402000000,7506,12.442,2002.31896,434,3406,0.39,0.37,4.83
CT Cha b,CT Cha,1,1,Imaging,,2014-05-14,2007,Paranal Observatory,,440,24.66,5403,2600,,,,
CoRoT-1 b,CoRoT-1,1,1,Transit,G0 V,2014-05-14,2008,CoRoT,1.5089557,,16.7,327.35,1898,5950,1.11,0.95,4.25
CoRoT-10 b,CoRoT-10,1,1,Transit,K1 V,2014-05-14,2010,CoRoT,13.2406,0.1055,10.87,874,600,5075,0.79,0.89,4.65
CoRoT-11 b,CoRoT-11,1,1,Transit,F6 V,2014-05-14,2010,CoRoT,2.99433,0.0436,16.03,740.51,1657,6440,1.37,1.27,4.22
CoRoT-12 b,CoRoT-12,1,1,Transit,,2014-05-14,2010,CoRoT,2.828042,0.04016,16.14,291.438,1442,5675,1.12,1.08,4.38
CoRoT-13 b,CoRoT-13,1,1,Transit,G0 V,2014-05-14,2010,CoRoT,4.03519,0.051,9.92,415.704,1700,5945,1.01,1.09,4.46
CoRoT-14 b,CoRoT-14,1,1,Transit,F9 V,2014-05-14,2010,CoRoT,1.51214,0.027,12.22,2415.4,1952,6035,1.21,1.13,4.35
CoRoT-17 b,CoRoT-17,1,1,Transit,G2 V,2014-05-14,2011,CoRoT,3.7681,0.0461,11.43,772.29,1626,5740,1.59,1.04,4.4
CoRoT-18 b,CoRoT-18,1,1,Transit,G9 V,2014-05-14,2011,CoRoT,1.9000693,0.0295,14.68,1102.82,1550,5440,1,0.95,4.4
CoRoT-19 b,CoRoT-19,1,1,Transit,F9 V,2014-05-14,2011,CoRoT,3.89713,0.0518,14.46,352.78,2000,6090,1.65,1.21,4.07
CoRoT-22 b,CoRoT-22,1,1,Transit,G3 V,2014-08-21,2014,CoRoT,9.75598,0.092,4.88,12.2,885,5939,1.14,1.1,4.36
CoRoT-23 b,CoRoT-23,1,1,Transit,G0 V,2014-05-14,2011,CoRoT,3.6313,0.048,11.77,889.9,1660,5900,1.61,1.14,4.3
CoRoT-24 b,CoRoT-24,1,2,Transit,K1 V,2018-05-31,2014,CoRoT,5.1134,0.056,3.7,5.7,1070,4950,0.86,0.91,4.55
CoRoT-24 c,CoRoT-24,1,2,Transit,K1 V,2014-06-11,2014,CoRoT,11.759,0.098,5,28,850,4950,0.86,0.91,4.55
CoRoT-25 b,CoRoT-25,1,1,Transit,F9,2014-05-14,2013,CoRoT,4.86069,0.0578,12.11,85.81,1330,6040,1.19,1.09,4.31
CoRoT-26 b,CoRoT-26,1,1,Transit,G5,2014-05-14,2013,CoRoT,4.20474,0.0526,14.12,165.26,1600,5590,1.79,1.09,3.99
CoRoT-27 b,CoRoT-27,1,1,Transit,G2,2014-05-14,2014,CoRoT,3.57532,0.0476,11.287,3302.11,1500,5900,1.08,1.05,4.4
CoRoT-35 b,CoRoT-35,1,1,Transit,F6 V,2022-08-01,2022,CoRoT,3.22748,0.0429,18.831,349.61125,1747,6390,1.65,1.01,4.01
CoRoT-36 b,CoRoT-36,1,1,Transit,F3 V,2022-08-01,2022,CoRoT,5.616531,0.066,15.805,216.12332,1567,6730,1.52,1.32,4.16
CoRoT-4 b,CoRoT-4,1,1,Transit,,2014-05-14,2008,CoRoT,9.20205,0.09,13.34,228.83,1074,6190,1.17,1.16,4.41
CoRoT-5 b,CoRoT-5,1,1,Transit,F9 V,2014-05-14,2009,CoRoT,4.0378962,0.04947,15.558,148.42,1438,6100,1.19,1,4.19
CoRoT-6 b,CoRoT-6,1,1,Transit,F9 V,2014-05-14,2009,CoRoT,8.886593,0.0855,13.068,940.74,1017,6090,1.02,1.05,4.43
CoRoT-9 b,CoRoT-9,2,1,Transit,,2017-12-14,2009,CoRoT,95.272656,0.4021,11.949,266.9772,420,5625,0.96,0.96,4.54
CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,G0 VI,2017-09-15,2017,CoRoT,6.71837,0.071,6.389,47.6745,938,5970,0.79,1.08,4.67
EPIC 220674823 b,EPIC 220674823,1,2,Transit,,2023-04-17,2016,K2,0.571292,0.01326,1.725,8.21,2300,5532,0.99,0.95,
EPIC 220674823 c,EPIC 220674823,1,2,Transit,,2023-04-17,2016,K2,13.3397,0.1083,2.836,8.9,805,5532,0.99,0.95,
EPIC 229004835 b,EPIC 229004835,1,1,Transit,,2023-05-03,2023,K2,16.141132,0.1237,2.332,10.4,804,5868,1,0.97,
EPIC 246851721 b,EPIC 246851721,2,1,Transit,F5 V,2018-10-26,2018,K2,6.180235,0.07229,11.781,953.49,1401,6202,1.59,1.32,4.16
EPIC 248847494 b,EPIC 248847494,1,1,Transit,,2019-07-25,2018,K2,3650,4.5,12.442,4131.79,183,4898,2.7,0.9,3.52
EPIC 249893012 b,EPIC 249893012,1,3,Transit,G8 IV/V,2020-02-13,2020,K2,3.5951,0.047,1.95,8.75,1616,5430,1.71,1.05,3.99
EPIC 249893012 c,EPIC 249893012,1,3,Transit,G8 IV/V,2020-02-13,2020,K2,15.624,0.13,3.67,14.67,990,5430,1.71,1.05,3.99
EPIC 249893012 d,EPIC 249893012,1,3,Transit,G8 IV/V,2020-02-13,2020,K2,35.747,0.22,3.94,10.18,752,5430,1.71,1.05,3.99
G 9-40 b,G 9-40,1,1,Transit,M2.5 V,2023-02-25,2019,K2,5.746007,0.0385,2.025,11.7,456,3348,0.31,0.29,4.93
GJ 1132 b,GJ 1132,1,2,Transit,,2024-07-12,2015,Cerro Tololo Inter-American Observatory,1.628931,0.0153,1.13,1.66,529,3270,0.21,0.18,
GJ 1214 b,GJ 1214,1,1,Transit,,2024-03-25,2009,MEarth Project,1.58040453,0.01505,2.733,8.41,567,3101,0.22,0.18,5.03
GJ 143 b,GJ 143,1,2,Transit,K4.5,2019-04-25,2019,Transiting Exoplanet Survey Satellite (TESS),35.61253,0.1915,2.61,22.7,422,4640,0.69,0.73,4.61
GJ 3090 b,GJ 3090,1,1,Transit,M2 V,2023-11-28,2022,Transiting Exoplanet Survey Satellite (TESS),2.8531054,0.03165,2.13,3.34,693,3556,0.52,0.52,4.73
GJ 3470 b,GJ 3470,1,1,Radial Velocity,,2016-09-29,2012,La Silla Observatory,3.3366496,0.0355,4.57,13.9,594,3600,0.55,0.54,4.7
GJ 3473 b,GJ 3473,2,2,Transit,,2020-10-22,2020,Transiting Exoplanet Survey Satellite (TESS),1.1980035,0.01589,1.264,1.86,773,3347,0.36,0.36,4.81
GJ 367 b,GJ 367,1,3,Transit,M1.0 V,2023-08-10,2021,Transiting Exoplanet Survey Satellite (TESS),0.3219225,0.00709,0.699,0.633,1365,3522,0.46,0.46,4.78
GJ 3929 b,GJ 3929,1,2,Transit,,2022-08-01,2022,Transiting Exoplanet Survey Satellite (TESS),2.616235,0.0252,1.09,1.75,568,3384,0.32,0.31,4.89
GJ 414 A b,GJ 414 A,2,2,Radial Velocity,K7 V,2021-04-01,2021,W. M. Keck Observatory,50.8,0.2324,2.63,7.6,309,4120,0.68,0.65,4.65
GJ 414 A c,GJ 414 A,2,2,Radial Velocity,K7 V,2021-04-01,2021,W. M. Keck Observatory,749.83,1.4,8.4,53.83,125,4120,0.68,0.65,4.65
GJ 486 b,GJ 486,1,1,Radial Velocity,M3.5 V,2024-07-12,2021,Calar Alto Observatory,1.467119,0.01734,1.305,2.82,701,3340,0.33,0.32,
GJ 806 b,GJ 806,1,2,Transit,M1.5 V,2023-11-28,2023,Transiting Exoplanet Survey Satellite (TESS),0.9263237,0.01406,1.331,1.9,940,3600,0.41,0.41,4.98
GJ 9827 b,GJ 9827,1,3,Transit,K7 V,2024-03-25,2017,K2,1.208974,0.0189,1.44,4.28,1035,4236,0.58,0.62,4.72
GJ 9827 c,GJ 9827,1,3,Transit,K7 V,2024-03-25,2017,K2,3.648103,0.0395,1.13,1.86,716,4236,0.58,0.62,4.72
GJ 9827 d,GJ 9827,1,3,Transit,K7 V,2024-03-25,2017,K2,6.201812,0.0563,1.89,3.02,600,4236,0.58,0.62,4.72
GPX-1 b,GPX-1,1,1,Transit,F2,2021-10-04,2021,Acton Sky Portal Observatory,1.744579,0.0338,16.477,6261.21962,2300,7000,1.56,1.68,4.27
GQ Lup b,GQ Lup,1,1,Imaging,K7e V,2014-05-14,2004,Paranal Observatory,,100,33.6,6356,2650,,,0.7,
GU Psc b,GU Psc,1,1,Imaging,M3,2014-05-14,2014,Gemini Observatory,,2000,14.179,3591.3,1050,,,0.33,
Gliese 12 b,Gliese 12,1,1,Transit,M3.0 V,2024-05-21,2024,Transiting Exoplanet Survey Satellite (TESS),12.761408,0.0668,0.958,3.87,315,3296,0.26,0.24,5.21
HAT-P-1 b,HAT-P-1,2,1,Transit,,2015-09-10,2006,HATNet,4.46529976,0.05561,14.785,166.86075,1322,5980,1.17,1.15,4.36
HAT-P-12 b,HAT-P-12,1,1,Transit,K4,2014-05-14,2009,HATNet,3.2130598,0.0384,10.749,67.059,963,4650,0.7,0.73,4.61
HAT-P-16 b,HAT-P-16,3,1,Transit,F8,2014-05-14,2010,HATNet,2.77596,0.0413,14.448,1332.605,1626,6158,1.24,1.22,4.34
HAT-P-18 b,HAT-P-18,1,1,Transit,K2,2014-05-14,2010,HATNet,5.508023,0.0559,11.153,62.61,852,4803,0.75,0.77,4.57
HAT-P-19 b,HAT-P-19,1,1,Transit,,2024-01-22,2010,HATNet,4.00878322,0.04599,11.299,88.03847,981,4962,0.77,0.81,4.57
HAT-P-20 b,HAT-P-20,1,1,Transit,K3,2014-05-14,2010,HATNet,2.875317,0.0361,9.718,2302.899,970,4595,0.69,0.76,4.63
HAT-P-23 b,HAT-P-23,1,1,Transit,G0,2014-05-14,2010,HATNet,1.212884,0.0232,15.334,664.237,2056,5905,1.2,1.13,4.33
HAT-P-25 b,HAT-P-25,1,1,Transit,,2019-01-17,2010,HATNet,3.65281514,0.0466,12.722,180.84527,1182,5519,0.92,1.01,4.52
HAT-P-28 b,HAT-P-28,1,1,Transit,G3,2014-05-14,2011,HATNet,3.257215,0.0434,13.585,198.953,1384,5680,1.1,1.02,4.36
HAT-P-32 b,HAT-P-32,2,1,Transit,,2019-07-11,2011,HATNet,2.1500082,0.03397,22.194,216.1244,1836,6001,1.37,1.13,4.22
HAT-P-36 b,HAT-P-36,1,1,Transit,,2019-07-11,2011,HATNet,1.32734683,0.0241,14.314,587.41341,1781,5620,1.04,1.03,
HAT-P-37 b,HAT-P-37,1,1,Transit,,2014-05-14,2011,HATNet,2.797436,0.0379,13.204,371.528,1271,5500,0.88,0.93,
HAT-P-38 b,HAT-P-38,1,1,Transit,,2014-05-14,2012,HATNet,4.640382,0.0523,9.247,84.857,1082,5330,0.92,0.89,
HAT-P-39 b,HAT-P-39,2,1,Transit,,2014-05-14,2012,HATNet,3.54387,0.0509,17.609,190.372,1752,6430,1.62,1.4,
HAT-P-4 b,HAT-P-4,2,1,Transit,,2014-05-14,2007,HATNet,3.056536,0.04438,14.28,213.255,1686,5860,,,
HAT-P-42 b,HAT-P-42,1,1,Transit,,2014-05-14,2012,HATNet,4.641878,0.0575,14.348,331.801,1428,5743,1.53,1.18,4.14
HAT-P-44 b,HAT-P-44,1,2,Transit,,2014-05-14,2014,HATNet,4.301219,0.0507,13.922,111.871,1108,5295,0.95,0.94,4.46
HAT-P-45 b,HAT-P-45,1,1,Transit,,2014-05-14,2014,HATNet,3.128992,0.0452,15.984,283.492,1652,6330,1.32,1.26,4.3
HAT-P-46 b,HAT-P-46,1,1,Transit,,2014-05-14,2014,HATNet,4.463129,0.0577,14.392,156.684,1458,6120,1.4,1.28,4.25
HAT-P-50 b,HAT-P-50,1,1,Transit,,2015-11-19,2015,HATNet,3.1220109,0.0453,14.437,429.0705,1862,6280,1.7,1.27,4.07
HAT-P-51 b,HAT-P-51,1,1,Transit,,2024-01-22,2015,HATNet,4.21802091,0.05042,13.507,97.57332,1168,5453,0.99,0.96,4.43
HAT-P-52 b,HAT-P-52,1,1,Transit,,2015-11-19,2015,HATNet,2.7535953,0.03694,11.31,259.98494,1218,5131,0.89,0.89,4.48
HAT-P-53 b,HAT-P-53,1,1,Transit,,2015-11-19,2015,HATNet,1.9616241,0.03159,14.773,471.65972,1778,5956,1.21,1.09,4.31
